brand_slug,brand_name,brand_url,status
ashok-leyland,Ashok Leyland,https://www.cardekho.com/cars/Ashok+Leyland,discontinued
aston-martin,Aston Martin,https://www.carwale.com/aston-martin-cars/,current
audi,Audi,https://www.carwale.com/audi-cars/,current
austin,Austin,https://www.cardekho.com/cars/Austin,discontinued
bmw,BMW,https://www.carwale.com/bmw-cars/,current
byd,BYD,https://www.carwale.com/byd-cars/,current
bentley,Bentley,https://www.carwale.com/bentley-cars/,current
cadillac,Cadillac,https://www.cardekho.com/cars/Cadillac,discontinued
caterham,Caterham,https://www.cardekho.com/cars/Caterham,discontinued
chevrolet,Chevrolet,https://www.cardekho.com/cars/Chevrolet,discontinued
chrysler,Chrysler,https://www.cardekho.com/cars/Chrysler,discontinued
citroen,Citroen,https://www.carwale.com/citroen-cars/,current
conquest,Conquest,https://www.cardekho.com/cars/Conquest,discontinued
dc,DC,https://www.cardekho.com/cars/DC,discontinued
daewoo,Daewoo,https://www.cardekho.com/cars/Daewoo,discontinued
datsun,Datsun,https://www.cardekho.com/cars/Datsun,discontinued
dodge,Dodge,https://www.cardekho.com/cars/Dodge,discontinued
ferrari,Ferrari,https://www.carwale.com/ferrari-cars/,current
fiat,Fiat,https://www.cardekho.com/cars/Fiat,discontinued
fisker,Fisker,https://www.carwale.com/fisker-cars/,current
force-motors,Force Motors,https://www.carwale.com/force-motors-cars/,current
genesis,Genesis,https://www.carwale.com/genesis-cars/,current
haima,Haima,https://www.cardekho.com/cars/Haima,upcoming
haval,Haval,https://www.cardekho.com/cars/Haval,upcoming
hindustan-motors,Hindustan Motors,https://www.cardekho.com/cars/Hindustan+Motors,discontinued
honda,Honda,https://www.carwale.com/honda-cars/,current
hummer,Hummer,https://www.cardekho.com/cars/Hummer,discontinued
hyundai,Hyundai,https://www.carwale.com/hyundai-cars/,current
icml,ICML,https://www.cardekho.com/cars/ICML,discontinued
infiniti,Infiniti,https://www.cardekho.com/cars/Infiniti,discontinued
isuzu,Isuzu,https://www.carwale.com/isuzu-cars/,current
jsw,JSW,https://www.carwale.com/jsw-cars/,current
jaguar,Jaguar,https://www.carwale.com/jaguar-cars/,current
jeep,Jeep,https://www.carwale.com/jeep-cars/,current
kia,Kia,https://www.carwale.com/kia-cars/,current
koenigsegg,Koenigsegg,https://www.cardekho.com/cars/Koenigsegg,upcoming
lamborghini,Lamborghini,https://www.carwale.com/lamborghini-cars/,current
land-rover,Land Rover,https://www.carwale.com/land-rover-cars/,current
leapmotor,Leapmotor,https://www.carwale.com/leapmotor-cars/,current
lexus,Lexus,https://www.carwale.com/lexus-cars/,current
lotus,Lotus,https://www.carwale.com/lotus-cars/,current
mg,MG,https://www.carwale.com/mg-cars/,current
mahindra,Mahindra,https://www.carwale.com/mahindra-cars/,current
mahindra-renault,Mahindra Renault,https://www.cardekho.com/cars/Mahindra+Renault,discontinued
mahindra-ssangyong,Mahindra Ssangyong,https://www.cardekho.com/cars/Mahindra+Ssangyong,discontinued
maruti-suzuki,Maruti Suzuki,https://www.carwale.com/maruti-suzuki-cars/,current
maserati,Maserati,https://www.carwale.com/maserati-cars/,current
maybach,Maybach,https://www.cardekho.com/cars/Maybach,discontinued
mazda,Mazda,https://www.cardekho.com/cars/Mazda,discontinued
mclaren,McLaren,https://www.carwale.com/mclaren-cars/,current
mercedes-benz,Mercedes-Benz,https://www.carwale.com/mercedes-benz-cars/,current
mini,Mini,https://www.carwale.com/mini-cars/,current
nissan,Nissan,https://www.carwale.com/nissan-cars/,current
ola,Ola,https://www.carwale.com/ola-cars/,current
opel,Opel,https://www.cardekho.com/cars/Opel,discontinued
piaggio,Piaggio,https://www.cardekho.com/cars/Piaggio,discontinued
porsche,Porsche,https://www.carwale.com/porsche-cars/,current
pravaig,Pravaig,https://www.carwale.com/pravaig-cars/,current
premier,Premier,https://www.cardekho.com/cars/Premier,discontinued
renault,Renault,https://www.carwale.com/renault-cars/,current
reva,Reva,https://www.cardekho.com/cars/Reva,discontinued
rolls-royce,Rolls-Royce,https://www.carwale.com/rolls-royce-cars/,current
san-motors,San Motors,https://www.cardekho.com/cars/San+Motors,discontinued
sipani,Sipani,https://www.cardekho.com/cars/Sipani,discontinued
skoda,Skoda,https://www.carwale.com/skoda-cars/,current
smart,Smart,https://www.cardekho.com/cars/Smart,discontinued
studebaker,Studebaker,https://www.cardekho.com/cars/Studebaker,discontinued
subaru,Subaru,https://www.cardekho.com/cars/Subaru,discontinued
tata,Tata,https://www.carwale.com/tata-cars/,current
tesla,Tesla,https://www.carwale.com/tesla-cars/,current
toyota,Toyota,https://www.carwale.com/toyota-cars/,current
vinfast,VinFast,https://www.carwale.com/vinfast-cars/,current
volkswagen,Volkswagen,https://www.carwale.com/volkswagen-cars/,current
volvo,Volvo,https://www.carwale.com/volvo-cars/,current
xiaomi,Xiaomi,https://www.cardekho.com/cars/Xiaomi,upcoming
