brand_name,model_name,variant_name,variant_url,missing_fields
Aston Martin,Dbs20072012,Coupe,https://www.carwale.com/aston-martin-cars/dbs20072012/coupe/,mileage;power;airbags;body_type
Aston Martin,Dbs20072012,Volante,https://www.carwale.com/aston-martin-cars/dbs20072012/volante/,mileage;power;airbags;body_type
Audi,New A3,Premium 35 TFSi,https://www.carwale.com/audi-cars/new-a3/premium-35-tfsi/,mileage;power;torque;airbags;body_type
Audi,New A3,Premium Plus 35 TFSi,https://www.carwale.com/audi-cars/new-a3/premium-plus-35-tfsi/,mileage;power;torque;airbags;body_type
Audi,New A3,Standard 35 TFSi,https://www.carwale.com/audi-cars/new-a3/standard-35-tfsi/,mileage;power;torque;airbags;body_type
Audi,New A3,Technology 35 TFSi,https://www.carwale.com/audi-cars/new-a3/technology-35-tfsi/,mileage;power;torque;airbags;body_type
BMW,M340I,xDrive Shadow Edition,https://www.carwale.com/bmw-cars/m340i/xdrive-shadow-edition/,mileage;power;body_type
BMW,Ix1 Lwb,eDrive20L M Sport,https://www.carwale.com/bmw-cars/ix1-lwb/edrive20l-m-sport/,mileage;power;body_type
BMW,Ix3,2 Series Gran Coupe,https://www.carwale.com/bmw-cars/ix3/2-series-gran-coupe/,price;transmission;mileage;power;body_type
BMW,Ix3,3 Series LWB,https://www.carwale.com/bmw-cars/ix3/3-series-lwb/,price;transmission;mileage;power;body_type
BMW,Ix3,M340i,https://www.carwale.com/bmw-cars/ix3/m340i/,price;transmission;mileage;power;body_type
BYD,Seal U Dm I,Performance Plug-in Hybrid (Electric + Petrol) Turbo Automatic,https://www.carwale.com/byd-cars/seal-u-dm-i/performance-plug-in-hybrid-electric-petrol-turbo-automatic/,price;transmission;engine;mileage;power;airbags;body_type
Bentley,Arnage,R,https://www.carwale.com/bentley-cars/arnage/r/,mileage;power;torque;airbags
Bentley,Arnage,RL,https://www.carwale.com/bentley-cars/arnage/rl/,mileage;power;torque;airbags
Bentley,Azure,Convertible,https://www.carwale.com/bentley-cars/azure/convertible/,mileage;power;torque;airbags
Bentley,Continentalsupersports,Convertible,https://www.carwale.com/bentley-cars/continentalsupersports/convertible/,mileage;power;torque;airbags;body_type
Citroen,C3 X,Feel (O) CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/feel-o-cng-12l-5-speed-manual/,fuel_type;body_type
Citroen,C3 X,Feel CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/feel-cng-12l-5-speed-manual/,fuel_type;body_type
Citroen,C3 X,Live CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/live-cng-12l-5-speed-manual/,fuel_type;body_type
Citroen,C3 X,Shine CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/shine-cng-12l-5-speed-manual/,fuel_type;body_type
Citroen,C3 X,Shine CNG 1.2L 5 Speed Manual Dual Tone,https://www.carwale.com/citroen-cars/c3-x/shine-cng-12l-5-speed-manual-dual-tone/,fuel_type;body_type
Citroen,Ec3,Feel 29.2 kWh,https://www.carwale.com/citroen-cars/ec3/feel-292-kwh/,price;engine;mileage
Citroen,Ec3,Live,https://www.carwale.com/citroen-cars/ec3/live/,mileage;power
Citroen,Ec3,Shine 29.2 kWh,https://www.carwale.com/citroen-cars/ec3/shine-292-kwh/,price;engine;mileage
Citroen,Ec3,Shine 29.2 kWh Dual Tone,https://www.carwale.com/citroen-cars/ec3/shine-292-kwh-dual-tone/,price;engine;mileage
Citroen,Ec3,Shine 29.2 kWh Dual Tone Vibe Pack,https://www.carwale.com/citroen-cars/ec3/shine-292-kwh-dual-tone-vibe-pack/,price;engine;mileage
Citroen,Ec3,Shine 29.2 kWh Vibe Pack,https://www.carwale.com/citroen-cars/ec3/shine-292-kwh-vibe-pack/,price;engine;mileage
Citroen,New C5 Aircross,Aircross X,https://www.carwale.com/citroen-cars/new-c5-aircross/aircross-x/,price;transmission;mileage;power;body_type
Citroen,New C5 Aircross,Basalt X,https://www.carwale.com/citroen-cars/new-c5-aircross/basalt-x/,price;transmission;mileage;power;body_type
Citroen,New C5 Aircross,C3 X,https://www.carwale.com/citroen-cars/new-c5-aircross/c3-x/,price;transmission;mileage;power;body_type
Citroen,New C5 Aircross,C5 Aircross,https://www.carwale.com/citroen-cars/new-c5-aircross/c5-aircross/,price;transmission;mileage;power;body_type
Citroen,New C5 Aircross,eC3,https://www.carwale.com/citroen-cars/new-c5-aircross/ec3/,price;transmission;mileage;power;body_type
Citroen,Basalt Ev,Aircross X,https://www.carwale.com/citroen-cars/basalt-ev/aircross-x/,price;transmission;mileage;power;body_type
Citroen,Basalt Ev,Basalt X,https://www.carwale.com/citroen-cars/basalt-ev/basalt-x/,price;transmission;mileage;power;body_type
Citroen,Basalt Ev,C3 X,https://www.carwale.com/citroen-cars/basalt-ev/c3-x/,price;transmission;mileage;power;body_type
Citroen,Basalt Ev,C5 Aircross,https://www.carwale.com/citroen-cars/basalt-ev/c5-aircross/,price;transmission;mileage;power;body_type
Citroen,Basalt Ev,eC3,https://www.carwale.com/citroen-cars/basalt-ev/ec3/,price;transmission;mileage;power;body_type
Citroen,Basalt,Max Petrol Turbo 6 Speed Manual,https://www.carwale.com/citroen-cars/basalt/max-petrol-turbo-6-speed-manual/,price;mileage
Citroen,Basalt,Max Petrol Turbo 6 Speed Manual Dual Tone,https://www.carwale.com/citroen-cars/basalt/max-petrol-turbo-6-speed-manual-dual-tone/,price;mileage
Citroen,Basalt,Max Petrol Turbo Automatic,https://www.carwale.com/citroen-cars/basalt/max-petrol-turbo-automatic/,price;mileage
Citroen,Basalt,Max Petrol Turbo Automatic Dual Tone,https://www.carwale.com/citroen-cars/basalt/max-petrol-turbo-automatic-dual-tone/,price;mileage
Citroen,Basalt,Plus Petrol 5 Speed Manual,https://www.carwale.com/citroen-cars/basalt/plus-petrol-5-speed-manual/,price;mileage
Citroen,Basalt,Plus Petrol Turbo 6 Speed Manual,https://www.carwale.com/citroen-cars/basalt/plus-petrol-turbo-6-speed-manual/,price;mileage
Citroen,Basalt,Plus Petrol Turbo Automatic,https://www.carwale.com/citroen-cars/basalt/plus-petrol-turbo-automatic/,price;mileage
Citroen,Basalt,You Petrol 5 Speed Manual,https://www.carwale.com/citroen-cars/basalt/you-petrol-5-speed-manual/,price;mileage
Ferrari,849 Testarossa,4.0-litre V8 Hybrid (Electric + Petrol) Turbo Automatic,https://www.carwale.com/ferrari-cars/849-testarossa/40-litre-v8-hybrid-electric-petrol-turbo-automatic/,price;mileage
Ferrari,458,Italia,https://www.carwale.com/ferrari-cars/458/italia/,mileage;power;torque;airbags;body_type
Ferrari,360,Spider,https://www.carwale.com/ferrari-cars/360/spider/,transmission;mileage;power;torque;airbags;body_type
Ferrari,575Superamerica,Coupe,https://www.carwale.com/ferrari-cars/575superamerica/coupe/,mileage;power;torque;airbags;body_type
Ferrari,612,Scaglietti,https://www.carwale.com/ferrari-cars/612/scaglietti/,mileage;power;torque;airbags
Ferrari,F430,Coupe,https://www.carwale.com/ferrari-cars/f430/coupe/,mileage;power;torque;airbags
Ferrari,F430,Spider,https://www.carwale.com/ferrari-cars/f430/spider/,mileage;power;torque;airbags
Fisker,Ocean Ev,Extreme,https://www.carwale.com/fisker-cars/ocean-ev/extreme/,engine;mileage;power;torque;airbags;body_type
Fisker,Ocean Ev,One,https://www.carwale.com/fisker-cars/ocean-ev/one/,engine;mileage;power;torque;airbags;body_type
Fisker,Ocean Ev,Sport,https://www.carwale.com/fisker-cars/ocean-ev/sport/,engine;mileage;power;torque;airbags;body_type
Fisker,Ocean Ev,Ultra,https://www.carwale.com/fisker-cars/ocean-ev/ultra/,engine;mileage;power;torque;airbags;body_type
Honda,City,ZX Plus Hybrid (Electric + Petrol) Automatic (e-CVT) e:HEV,https://www.carwale.com/honda-cars/city/zx-plus-hybrid-electric-petrol-automatic-e-cvt-e-hev/,price;mileage
Honda,Zr V,Amaze 2nd Gen,https://www.carwale.com/honda-cars/zr-v/amaze-2nd-gen/,price;mileage;airbags
Honda,Zr V,Sport Hybrid (Electric + Petrol) Automatic e:HEV,https://www.carwale.com/honda-cars/zr-v/sport-hybrid-electric-petrol-automatic-e-hev/,price;mileage;airbags
Honda,Super One,Amaze 2nd Gen,https://www.carwale.com/honda-cars/super-one/amaze-2nd-gen/,price;transmission;mileage;power;torque;airbags;body_type
Honda,0 Alpha,Amaze 2nd Gen,https://www.carwale.com/honda-cars/0-alpha/amaze-2nd-gen/,price;transmission;mileage;power;torque;airbags;body_type
Honda,Prelude,Amaze 2nd Gen,https://www.carwale.com/honda-cars/prelude/amaze-2nd-gen/,price;transmission;mileage;power;torque;airbags;body_type
Honda,Elevate Based Three Row Suv,Amaze 2nd Gen,https://www.carwale.com/honda-cars/elevate-based-three-row-suv/amaze-2nd-gen/,price;transmission;mileage;power;torque;airbags;body_type
Honda,Elevate Based Three Row Suv,ZX Hybrid (Electric + Petrol) Automatic (e-CVT),https://www.carwale.com/honda-cars/elevate-based-three-row-suv/zx-hybrid-electric-petrol-automatic-e-cvt/,price;transmission;mileage;power;torque;airbags;body_type
Honda,Cr V Hybrid,Amaze 2nd Gen,https://www.carwale.com/honda-cars/cr-v-hybrid/amaze-2nd-gen/,price;transmission;mileage;power;torque;airbags;body_type
Honda,Compact Suv,Amaze 2nd Gen,https://www.carwale.com/honda-cars/compact-suv/amaze-2nd-gen/,price;mileage
Honda,City Hybrid Ehev,ZX Plus Hybrid (Electric + Petrol) Automatic,https://www.carwale.com/honda-cars/city-hybrid-ehev/zx-plus-hybrid-electric-petrol-automatic/,price;transmission;mileage;power;torque;airbags;body_type
Honda,Stepwgn,Wagon,https://www.carwale.com/honda-cars/stepwgn/wagon/,mileage;power;torque;airbags;body_type
Honda,Concerto,Ex 1.6 MT,https://www.carwale.com/honda-cars/concerto/ex-16-mt/,mileage;power;torque;airbags;body_type
Honda,Crx,Petrol,https://www.carwale.com/honda-cars/crx/petrol/,mileage;power;torque;airbags;body_type
Hyundai,Exter,HX 2 CNG Manual,https://www.carwale.com/hyundai-cars/exter/hx-2-cng-manual/,fuel_type;mileage
Hyundai,Exter,HX 3 CNG Manual,https://www.carwale.com/hyundai-cars/exter/hx-3-cng-manual/,fuel_type;mileage
Hyundai,Exter,HX 3 CNG Manual Matte,https://www.carwale.com/hyundai-cars/exter/hx-3-cng-manual-matte/,fuel_type;mileage
Hyundai,Exter,HX 4 CNG Manual,https://www.carwale.com/hyundai-cars/exter/hx-4-cng-manual/,fuel_type;mileage
Hyundai,Exter,HX 4 CNG Manual Matte,https://www.carwale.com/hyundai-cars/exter/hx-4-cng-manual-matte/,fuel_type;mileage
Hyundai,Exter,HX 6 CNG Manual,https://www.carwale.com/hyundai-cars/exter/hx-6-cng-manual/,fuel_type;mileage
Hyundai,Exter,HX 6 CNG Manual Dual Tone,https://www.carwale.com/hyundai-cars/exter/hx-6-cng-manual-dual-tone/,fuel_type;mileage
Hyundai,Exter,HX 6 CNG Manual Matte,https://www.carwale.com/hyundai-cars/exter/hx-6-cng-manual-matte/,fuel_type;mileage
Hyundai,Exter,HX 8 CNG Manual,https://www.carwale.com/hyundai-cars/exter/hx-8-cng-manual/,fuel_type;mileage
Hyundai,Exter,HX 8 CNG Manual Matte,https://www.carwale.com/hyundai-cars/exter/hx-8-cng-manual-matte/,fuel_type;mileage
Hyundai,Grand I10 Nios,Magna CNG Manual,https://www.carwale.com/hyundai-cars/grand-i10-nios/magna-cng-manual/,fuel_type;mileage
Hyundai,Grand I10 Nios,Sportz CNG Manual,https://www.carwale.com/hyundai-cars/grand-i10-nios/sportz-cng-manual/,fuel_type;mileage
Hyundai,Aura,Corporate CNG Manual,https://www.carwale.com/hyundai-cars/aura/corporate-cng-manual/,fuel_type
Hyundai,Aura,S CNG Manual,https://www.carwale.com/hyundai-cars/aura/s-cng-manual/,fuel_type
Hyundai,Aura,SX CNG Manual,https://www.carwale.com/hyundai-cars/aura/sx-cng-manual/,fuel_type
Hyundai,Ioniq 5,RWD 84.0 kWh,https://www.carwale.com/hyundai-cars/ioniq-5/rwd-840-kwh/,mileage;torque
Hyundai,Mid Size Suv,Grand i10 Nios,https://www.carwale.com/hyundai-cars/mid-size-suv/grand-i10-nios/,price;transmission;mileage;power;torque;body_type
Hyundai,Bayon,Grand i10 Nios,https://www.carwale.com/hyundai-cars/bayon/grand-i10-nios/,price;mileage;power;torque;seating_capacity;airbags
Hyundai,Ioniq 6,Grand i10 Nios,https://www.carwale.com/hyundai-cars/ioniq-6/grand-i10-nios/,price;engine;mileage;power;torque;seating_capacity;airbags
Hyundai,Sub Compact Ev Suv,Grand i10 Nios,https://www.carwale.com/hyundai-cars/sub-compact-ev-suv/grand-i10-nios/,price;transmission;mileage;power;torque;body_type
Hyundai,New I20,1.2 Petrol Automatic,https://www.carwale.com/hyundai-cars/new-i20/12-petrol-automatic/,mileage;power;torque;body_type
