brand_slug,brand_name,model_slug,model_name,model_url,model_source
aston-martin,Aston Martin,db11,Db11,https://www.carwale.com/aston-martin-cars/db11/,carwale
aston-martin,Aston Martin,vanquish,Vanquish,https://www.carwale.com/aston-martin-cars/vanquish/,carwale
aston-martin,Aston Martin,vantage,Vantage,https://www.carwale.com/aston-martin-cars/vantage/,carwale
aston-martin,Aston Martin,dbx,Dbx,https://www.carwale.com/aston-martin-cars/dbx/,carwale
aston-martin,Aston Martin,db12,Db12,https://www.carwale.com/aston-martin-cars/db12/,carwale
aston-martin,Aston Martin,db9,Db9,https://www.carwale.com/aston-martin-cars/db9/,carwale
aston-martin,Aston Martin,dbs20072012,Dbs20072012,https://www.carwale.com/aston-martin-cars/dbs20072012/,carwale
aston-martin,Aston Martin,rapide,Rapide,https://www.carwale.com/aston-martin-cars/rapide/,carwale
aston-martin,Aston Martin,virage,Virage,https://www.carwale.com/aston-martin-cars/virage/,carwale
audi,Audi,q3,Q3,https://www.carwale.com/audi-cars/q3/,carwale
audi,Audi,a4,A4,https://www.carwale.com/audi-cars/a4/,carwale
audi,Audi,q8,Q8,https://www.carwale.com/audi-cars/q8/,carwale
audi,Audi,q7,Q7,https://www.carwale.com/audi-cars/q7/,carwale
audi,Audi,a6,A6,https://www.carwale.com/audi-cars/a6/,carwale
audi,Audi,rs5,Rs5,https://www.carwale.com/audi-cars/rs5/,carwale
audi,Audi,q5,Q5,https://www.carwale.com/audi-cars/q5/,carwale
audi,Audi,s5-sportback,S5 Sportback,https://www.carwale.com/audi-cars/s5-sportback/,carwale
audi,Audi,q3-sportback,Q3 Sportback,https://www.carwale.com/audi-cars/q3-sportback/,carwale
audi,Audi,e-tron-gt,E Tron Gt,https://www.carwale.com/audi-cars/e-tron-gt/,carwale
audi,Audi,rs-q8-performance,Rs Q8 Performance,https://www.carwale.com/audi-cars/rs-q8-performance/,carwale
audi,Audi,a8-l,A8 L,https://www.carwale.com/audi-cars/a8-l/,carwale
audi,Audi,sq8,Sq8,https://www.carwale.com/audi-cars/sq8/,carwale
audi,Audi,e-tron-sportback,E Tron Sportback,https://www.carwale.com/audi-cars/e-tron-sportback/,carwale
audi,Audi,e-tron,E Tron,https://www.carwale.com/audi-cars/e-tron/,carwale
audi,Audi,q8-e-tron,Q8 E Tron,https://www.carwale.com/audi-cars/q8-e-tron/,carwale
audi,Audi,q8-sportback-e-tron,Q8 Sportback E Tron,https://www.carwale.com/audi-cars/q8-sportback-e-tron/,carwale
audi,Audi,new-q3,New Q3,https://www.carwale.com/audi-cars/new-q3/,carwale
audi,Audi,new-q5-third-gen,New Q5 Third Gen,https://www.carwale.com/audi-cars/new-q5-third-gen/,carwale
audi,Audi,q6-e-tron,Q6 E Tron,https://www.carwale.com/audi-cars/q6-e-tron/,carwale
audi,Audi,q9,Q9,https://www.carwale.com/audi-cars/q9/,carwale
audi,Audi,rs7-sportback,Rs7 Sportback,https://www.carwale.com/audi-cars/rs7-sportback/,carwale
audi,Audi,a5,A5,https://www.carwale.com/audi-cars/a5/,carwale
audi,Audi,new-a3,New A3,https://www.carwale.com/audi-cars/new-a3/,carwale
audi,Audi,s6,S6,https://www.carwale.com/audi-cars/s6/,carwale
audi,Audi,r8,R8,https://www.carwale.com/audi-cars/r8/,carwale
audi,Audi,tt,Tt,https://www.carwale.com/audi-cars/tt/,carwale
audi,Audi,q2,Q2,https://www.carwale.com/audi-cars/q2/,carwale
bmw,BMW,2-series-gran-coupe,2 Series Gran Coupe,https://www.carwale.com/bmw-cars/2-series-gran-coupe/,carwale
bmw,BMW,m4,M4,https://www.carwale.com/bmw-cars/m4/,carwale
bmw,BMW,3-series,3 Series,https://www.carwale.com/bmw-cars/3-series/,carwale
bmw,BMW,m340i,M340I,https://www.carwale.com/bmw-cars/m340i/,carwale
bmw,BMW,x1,X1,https://www.carwale.com/bmw-cars/x1/,carwale
bmw,BMW,m5,M5,https://www.carwale.com/bmw-cars/m5/,carwale
bmw,BMW,x7,X7,https://www.carwale.com/bmw-cars/x7/,carwale
bmw,BMW,x5,X5,https://www.carwale.com/bmw-cars/x5/,carwale
bmw,BMW,x3,X3,https://www.carwale.com/bmw-cars/x3/,carwale
bmw,BMW,z4,Z4,https://www.carwale.com/bmw-cars/z4/,carwale
bmw,BMW,7-series,7 Series,https://www.carwale.com/bmw-cars/7-series/,carwale
bmw,BMW,m440i,M440I,https://www.carwale.com/bmw-cars/m440i/,carwale
bmw,BMW,ix1-lwb,Ix1 Lwb,https://www.carwale.com/bmw-cars/ix1-lwb/,carwale
bmw,BMW,m2,M2,https://www.carwale.com/bmw-cars/m2/,carwale
bmw,BMW,5-series,5 Series,https://www.carwale.com/bmw-cars/5-series/,carwale
bmw,BMW,ix1,Ix1,https://www.carwale.com/bmw-cars/ix1/,carwale
bmw,BMW,xm,Xm,https://www.carwale.com/bmw-cars/xm/,carwale
bmw,BMW,m8,M8,https://www.carwale.com/bmw-cars/m8/,carwale
bmw,BMW,i7,I7,https://www.carwale.com/bmw-cars/i7/,carwale
bmw,BMW,i4,I4,https://www.carwale.com/bmw-cars/i4/,carwale
bmw,BMW,x4,X4,https://www.carwale.com/bmw-cars/x4/,carwale
bmw,BMW,ix,Ix,https://www.carwale.com/bmw-cars/ix/,carwale
bmw,BMW,i5,I5,https://www.carwale.com/bmw-cars/i5/,carwale
bmw,BMW,ix3,Ix3,https://www.carwale.com/bmw-cars/ix3/,carwale
bmw,BMW,3-series-gran-limousine,3 Series Gran Limousine,https://www.carwale.com/bmw-cars/3-series-gran-limousine/,carwale
bmw,BMW,1-series,1 Series,https://www.carwale.com/bmw-cars/1-series/,carwale
bmw,BMW,6-series-gran-coupe,6 Series Gran Coupe,https://www.carwale.com/bmw-cars/6-series-gran-coupe/,carwale
