brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,source_url,scraped_at
Aston Martin,Db9,Coupe,coupe,https://www.carwale.com/aston-martin-cars/db9/coupe/,Rs. 3.45 Crore,Petrol,Automatic,5935 cc,,470 bhp,600 Nm,2,,Coupe,https://www.carwale.com/aston-martin-cars/db9/coupe/,2026-06-19 10:43:46
Aston Martin,Dbs20072012,Coupe,coupe,https://www.carwale.com/aston-martin-cars/dbs20072012/coupe/,Rs. 2.55 Crore,Petrol,Automatic,5935 cc,,656 bhp,800 Nm,2,,,https://www.carwale.com/aston-martin-cars/dbs20072012/coupe/,2026-06-19 10:43:46
Aston Martin,Dbs20072012,Volante,volante,https://www.carwale.com/aston-martin-cars/dbs20072012/volante/,Rs. 2.70 Crore,Petrol,Automatic,5935 cc,,656 bhp,800 Nm,2,,,https://www.carwale.com/aston-martin-cars/dbs20072012/volante/,2026-06-19 10:43:46
Aston Martin,Vantage,V8,v8,https://www.carwale.com/aston-martin-cars/vantage/v8/,Rs. 3.77 Crore,Petrol,Automatic,3982 cc,,656 bhp,800 Nm,2,4,Coupe,https://www.carwale.com/aston-martin-cars/vantage/v8/,2026-06-19 10:43:46
Aston Martin,Db12,4.0-litre,4-0-litre,https://www.carwale.com/aston-martin-cars/db12/40-litre/,Rs. 4.34 Crore,Petrol,Automatic,5198 cc,12.75 kmpl,670 bhp,800 Nm,4,2,Coupe,https://www.carwale.com/aston-martin-cars/db12/40-litre/,2026-06-19 10:43:46
Aston Martin,Vanquish,V12,v12,https://www.carwale.com/aston-martin-cars/vanquish/v12/,Rs. 8.37 Crore,Petrol,Automatic,5203 cc,,835 bhp,1000 Nm,2,4,Coupe,https://www.carwale.com/aston-martin-cars/vanquish/v12/,2026-06-19 10:43:49
Aston Martin,Dbx,Twin Turbo,twin-turbo,https://www.carwale.com/aston-martin-cars/dbx/twin-turbo/,Rs. 3.82 Crore,Petrol,Automatic,3982 cc,,542 bhp,700 Nm,5,10,SUV,https://www.carwale.com/aston-martin-cars/dbx/twin-turbo/,2026-06-19 10:43:50
Aston Martin,Dbx,707,707,https://www.carwale.com/aston-martin-cars/dbx/707/,Rs. 4.38 Crore,Petrol,Automatic,3982 cc,,697 bhp,900 Nm,5,10,SUV,https://www.carwale.com/aston-martin-cars/dbx/707/,2026-06-19 10:43:50
Aston Martin,Db9,Volante,volante,https://www.carwale.com/aston-martin-cars/db9/volante/,Rs. 3.65 Crore,Petrol,Automatic,5935 cc,,470 bhp,600 Nm,2,,Coupe,https://www.carwale.com/aston-martin-cars/db9/volante/,2026-06-19 10:43:50
Aston Martin,Db11,Evolution,evolution,https://www.carwale.com/aston-martin-cars/db11/evolution/,Rs. 3.11 Crore,Petrol,Automatic,5198 cc,11.0 kmpl,503 bhp,675 Nm,4,2,Convertible,https://www.carwale.com/aston-martin-cars/db11/evolution/,2026-06-19 10:43:50
Aston Martin,Rapide,LUXE,luxe,https://www.carwale.com/aston-martin-cars/rapide/luxe/,Rs. 3.93 Crore,Petrol,Automatic,5935 cc,,552 bhp,630 Nm,4,6,Sedan,https://www.carwale.com/aston-martin-cars/rapide/luxe/,2026-06-19 10:43:53
Aston Martin,Virage,Volante,volante,https://www.carwale.com/aston-martin-cars/virage/volante/,Rs. 1.45 Crore,Petrol,Automatic,5935 cc,,490bhp,570Nm,4,,Coupe,https://www.carwale.com/aston-martin-cars/virage/volante/,2026-06-19 10:43:53
Aston Martin,Rapide,S V12,s-v12,https://www.carwale.com/aston-martin-cars/rapide/s-v12/,Rs. 3.29 Crore,Petrol,Automatic,5935 cc,,552 bhp,630 Nm,4,6,Sedan,https://www.carwale.com/aston-martin-cars/rapide/s-v12/,2026-06-19 10:43:54
Audi,Q3,40 TFSI Premium Plus,40-tfsi-premium-plus,https://www.carwale.com/audi-cars/q3/40-tfsi-premium-plus/,Rs. 48.19 Lakh,Petrol,Automatic,1984 cc,13.0 kmpl,188 bhp,320 Nm,5,6,SUV,https://www.carwale.com/audi-cars/q3/40-tfsi-premium-plus/,2026-06-19 10:43:54
Audi,Q3,40 TFSI Technology,40-tfsi-technology,https://www.carwale.com/audi-cars/q3/40-tfsi-technology/,Rs. 53.00 Lakh,Petrol,Automatic,1984 cc,,188 bhp,320 Nm,5,6,SUV,https://www.carwale.com/audi-cars/q3/40-tfsi-technology/,2026-06-19 10:43:54
Audi,Q3,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q3/signature-edition/,Rs. 52.31 Lakh,Petrol,Automatic,1984 cc,,188 bhp,320 Nm,5,6,SUV,https://www.carwale.com/audi-cars/q3/signature-edition/,2026-06-19 10:43:57
Audi,Q3,40 TFSI Premium,40-tfsi-premium,https://www.carwale.com/audi-cars/q3/40-tfsi-premium/,Rs. 43.67 Lakh,Petrol,Automatic,1984 cc,12.0 kmpl,188 bhp,320 Nm,5,6,SUV,https://www.carwale.com/audi-cars/q3/40-tfsi-premium/,2026-06-19 10:43:57
Audi,A4,Premium 40 TFSI,premium-40-tfsi,https://www.carwale.com/audi-cars/a4/premium-40-tfsi/,Rs. 46.88 Lakh,Petrol,Automatic,1984 cc,18.0 kmpl,201 bhp,320 Nm,5,8,Sedan,https://www.carwale.com/audi-cars/a4/premium-40-tfsi/,2026-06-19 10:43:57
Audi,A4,Premium Plus 40 TFSI,premium-plus-40-tfsi,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi/,Rs. 51.85 Lakh,Petrol,Automatic,1984 cc,17.0 kmpl,201 bhp,320 Nm,5,8,Sedan,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi/,2026-06-19 10:43:58
Audi,A4,Premium Plus 40 TFSI [2021-2024],premium-plus-40-tfsi-2021-2024,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi-2021-2024/,Rs. 50.67 Lakh,Petrol,Automatic,1984 cc,17.0 kmpl,201 bhp,320 Nm,5,8,Sedan,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi-2021-2024/,2026-06-19 10:43:58
Audi,A4,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/a4/signature-edition/,Rs. 54.02 Lakh,Petrol,Automatic,1984 cc,16.0 kmpl,201 bhp,320 Nm,5,8,Sedan,https://www.carwale.com/audi-cars/a4/signature-edition/,2026-06-19 10:44:00
Audi,A4,Technology 40 TFSI,technology-40-tfsi,https://www.carwale.com/audi-cars/a4/technology-40-tfsi/,Rs. 55.83 Lakh,Petrol,Automatic,1984 cc,16.0 kmpl,201 bhp,320 Nm,5,8,Sedan,https://www.carwale.com/audi-cars/a4/technology-40-tfsi/,2026-06-19 10:44:01
Audi,A4,Technology 40 TFSI [2022-2024],technology-40-tfsi-2022-2024,https://www.carwale.com/audi-cars/a4/technology-40-tfsi-2022-2024/,Rs. 54.58 Lakh,Petrol,Automatic,1984 cc,17.0 kmpl,201 bhp,320 Nm,5,8,Sedan,https://www.carwale.com/audi-cars/a4/technology-40-tfsi-2022-2024/,2026-06-19 10:44:01
Audi,Q8,55 TFSI quattro,55-tfsi-quattro,https://www.carwale.com/audi-cars/q8/55-tfsi-quattro/,Rs. 1.15 Crore,Petrol,Automatic,2995 cc,,335 bhp,500 Nm,5,8,SUV,https://www.carwale.com/audi-cars/q8/55-tfsi-quattro/,2026-06-19 10:44:02
Audi,Q7,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q7/bold-edition/,Rs. 92.56 Lakh,Petrol,Automatic,2995 cc,,335 bhp,500 Nm,7,8,SUV,https://www.carwale.com/audi-cars/q7/bold-edition/,2026-06-19 10:44:02
Audi,Q7,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q7/signature-edition/,Rs. 94.41 Lakh,Petrol,Automatic,2995 cc,,335 bhp,500 Nm,7,8,SUV,https://www.carwale.com/audi-cars/q7/signature-edition/,2026-06-19 10:44:04
Audi,Q7,Premium Plus,premium-plus,https://www.carwale.com/audi-cars/q7/premium-plus/,Rs. 87.62 Lakh,Petrol,Automatic,2995 cc,,335 bhp,500 Nm,7,8,SUV,https://www.carwale.com/audi-cars/q7/premium-plus/,2026-06-19 10:44:05
Audi,A6,Premium Plus 45 TFSI,premium-plus-45-tfsi,https://www.carwale.com/audi-cars/a6/premium-plus-45-tfsi/,Rs. 64.81 Lakh,Petrol,Automatic,1984 cc,15.0 kmpl,261 bhp,370 Nm,5,6,Sedan,https://www.carwale.com/audi-cars/a6/premium-plus-45-tfsi/,2026-06-19 10:44:05
Audi,Q7,Technology,technology,https://www.carwale.com/audi-cars/q7/technology/,Rs. 96.15 Lakh,Petrol,Automatic,2995 cc,,335 bhp,500 Nm,7,8,SUV,https://www.carwale.com/audi-cars/q7/technology/,2026-06-19 10:44:06
Audi,A6,Technology 45 TFSI,technology-45-tfsi,https://www.carwale.com/audi-cars/a6/technology-45-tfsi/,Rs. 71.66 Lakh,Petrol,Automatic,1984 cc,14.25 kmpl,261 bhp,370 Nm,5,6,Sedan,https://www.carwale.com/audi-cars/a6/technology-45-tfsi/,2026-06-19 10:44:06
Audi,Rs5,Sportback,sportback,https://www.carwale.com/audi-cars/rs5/sportback/,Rs. 1.07 Crore,Petrol,Automatic,2894 cc,8.45 kmpl,444 bhp,600 Nm,5,6,Coupe,https://www.carwale.com/audi-cars/rs5/sportback/,2026-06-19 10:44:07
Audi,Q5,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q5/bold-edition/,Rs. 69.80 Lakh,Petrol,Automatic,1984 cc,,261 bhp,370 Nm,5,8,SUV,https://www.carwale.com/audi-cars/q5/bold-edition/,2026-06-19 10:44:08
Audi,Q5,Premium Plus 45 TFSI,premium-plus-45-tfsi,https://www.carwale.com/audi-cars/q5/premium-plus-45-tfsi/,Rs. 65.55 Lakh,Petrol,Automatic,1984 cc,,261 bhp,370 Nm,5,8,SUV,https://www.carwale.com/audi-cars/q5/premium-plus-45-tfsi/,2026-06-19 10:44:09
