brand_slug,brand_name,model_slug,model_name,variant_slug,variant_name,variant_url
aston-martin,Aston Martin,db11,Db11,evolution,Evolution,https://www.carwale.com/aston-martin-cars/db11/evolution/
aston-martin,Aston Martin,vanquish,Vanquish,v12,V12,https://www.carwale.com/aston-martin-cars/vanquish/v12/
aston-martin,Aston Martin,dbx,Dbx,twin-turbo,Twin Turbo,https://www.carwale.com/aston-martin-cars/dbx/twin-turbo/
aston-martin,Aston Martin,dbx,Dbx,707,707,https://www.carwale.com/aston-martin-cars/dbx/707/
aston-martin,Aston Martin,vantage,Vantage,v8,V8,https://www.carwale.com/aston-martin-cars/vantage/v8/
aston-martin,Aston Martin,db12,Db12,40-litre,40 Litre,https://www.carwale.com/aston-martin-cars/db12/40-litre/
aston-martin,Aston Martin,vantage-2024-2024,Vantage 2024 2024,v8,V8,https://www.carwale.com/aston-martin-cars/vantage-2024-2024/v8/
aston-martin,Aston Martin,db9,Db9,coupe,Coupe,https://www.carwale.com/aston-martin-cars/db9/coupe/
aston-martin,Aston Martin,db9,Db9,volante,Volante,https://www.carwale.com/aston-martin-cars/db9/volante/
aston-martin,Aston Martin,dbs20072012,Dbs20072012,coupe,Coupe,https://www.carwale.com/aston-martin-cars/dbs20072012/coupe/
aston-martin,Aston Martin,dbs20072012,Dbs20072012,volante,Volante,https://www.carwale.com/aston-martin-cars/dbs20072012/volante/
aston-martin,Aston Martin,rapide,Rapide,s-v12,S V12,https://www.carwale.com/aston-martin-cars/rapide/s-v12/
aston-martin,Aston Martin,rapide,Rapide,luxe,Luxe,https://www.carwale.com/aston-martin-cars/rapide/luxe/
aston-martin,Aston Martin,vanquish-2012-2019,Vanquish 2012 2019,v12,V12,https://www.carwale.com/aston-martin-cars/vanquish-2012-2019/v12/
aston-martin,Aston Martin,virage,Virage,volante,Volante,https://www.carwale.com/aston-martin-cars/virage/volante/
audi,Audi,q3,Q3,40-tfsi-premium,40 Tfsi Premium,https://www.carwale.com/audi-cars/q3/40-tfsi-premium/
audi,Audi,q3,Q3,40-tfsi-premium-plus,40 Tfsi Premium Plus,https://www.carwale.com/audi-cars/q3/40-tfsi-premium-plus/
audi,Audi,q3,Q3,signature-edition,Signature Edition,https://www.carwale.com/audi-cars/q3/signature-edition/
audi,Audi,q3,Q3,40-tfsi-technology,40 Tfsi Technology,https://www.carwale.com/audi-cars/q3/40-tfsi-technology/
audi,Audi,a4,A4,premium-40-tfsi,Premium 40 Tfsi,https://www.carwale.com/audi-cars/a4/premium-40-tfsi/
audi,Audi,a4,A4,premium-plus-40-tfsi,Premium Plus 40 Tfsi,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi/
audi,Audi,a4,A4,signature-edition,Signature Edition,https://www.carwale.com/audi-cars/a4/signature-edition/
audi,Audi,a4,A4,technology-40-tfsi,Technology 40 Tfsi,https://www.carwale.com/audi-cars/a4/technology-40-tfsi/
audi,Audi,a6,A6,premium-plus-45-tfsi,Premium Plus 45 Tfsi,https://www.carwale.com/audi-cars/a6/premium-plus-45-tfsi/
audi,Audi,a6,A6,technology-45-tfsi,Technology 45 Tfsi,https://www.carwale.com/audi-cars/a6/technology-45-tfsi/
audi,Audi,q7,Q7,premium-plus,Premium Plus,https://www.carwale.com/audi-cars/q7/premium-plus/
audi,Audi,q7,Q7,bold-edition,Bold Edition,https://www.carwale.com/audi-cars/q7/bold-edition/
audi,Audi,q7,Q7,signature-edition,Signature Edition,https://www.carwale.com/audi-cars/q7/signature-edition/
audi,Audi,q7,Q7,technology,Technology,https://www.carwale.com/audi-cars/q7/technology/
audi,Audi,rs5,Rs5,sportback,Sportback,https://www.carwale.com/audi-cars/rs5/sportback/
audi,Audi,q5,Q5,premium-plus-45-tfsi,Premium Plus 45 Tfsi,https://www.carwale.com/audi-cars/q5/premium-plus-45-tfsi/
audi,Audi,q5,Q5,bold-edition,Bold Edition,https://www.carwale.com/audi-cars/q5/bold-edition/
audi,Audi,q5,Q5,signature-edition,Signature Edition,https://www.carwale.com/audi-cars/q5/signature-edition/
audi,Audi,q5,Q5,technology-45-tfsi,Technology 45 Tfsi,https://www.carwale.com/audi-cars/q5/technology-45-tfsi/
audi,Audi,q8,Q8,55-tfsi-quattro,55 Tfsi Quattro,https://www.carwale.com/audi-cars/q8/55-tfsi-quattro/
audi,Audi,s5-sportback,S5 Sportback,30-tfsi-quattro,30 Tfsi Quattro,https://www.carwale.com/audi-cars/s5-sportback/30-tfsi-quattro/
audi,Audi,s5-sportback,S5 Sportback,platinum-edition,Platinum Edition,https://www.carwale.com/audi-cars/s5-sportback/platinum-edition/
