brand_name,brand_slug,model_name,model_slug,variant_name,variant_slug,variant_url,data_source,source_url,scraped_at
Aston Martin,aston-martin,Db11,db11,Evolution,evolution,https://www.carwale.com/aston-martin-cars/db11/,carwale_versions,https://www.carwale.com/aston-martin-cars/db11/,2026-06-16 15:57:01
Aston Martin,aston-martin,Vanquish,vanquish,V12,v12,https://www.carwale.com/aston-martin-cars/vanquish/,carwale_versions,https://www.carwale.com/aston-martin-cars/vanquish/,2026-06-16 15:57:01
Aston Martin,aston-martin,Vantage,vantage,V8,v8,https://www.carwale.com/aston-martin-cars/vantage/,carwale_versions,https://www.carwale.com/aston-martin-cars/vantage/,2026-06-16 15:57:01
Aston Martin,aston-martin,Dbx,dbx,707,707,https://www.carwale.com/aston-martin-cars/dbx/,carwale_versions,https://www.carwale.com/aston-martin-cars/dbx/,2026-06-16 15:57:01
Aston Martin,aston-martin,Dbx,dbx,Twin Turbo,twin-turbo,https://www.carwale.com/aston-martin-cars/dbx/,carwale_versions,https://www.carwale.com/aston-martin-cars/dbx/,2026-06-16 15:57:01
Aston Martin,aston-martin,Db12,db12,4.0-litre,4-0-litre,https://www.carwale.com/aston-martin-cars/db12/,carwale_versions,https://www.carwale.com/aston-martin-cars/db12/,2026-06-16 15:57:02
Aston Martin,aston-martin,Db9,db9,Coupe,coupe,https://www.carwale.com/aston-martin-cars/db9/,carwale_versions,https://www.carwale.com/aston-martin-cars/db9/,2026-06-16 15:57:02
Aston Martin,aston-martin,Db9,db9,Volante,volante,https://www.carwale.com/aston-martin-cars/db9/,carwale_versions,https://www.carwale.com/aston-martin-cars/db9/,2026-06-16 15:57:02
Aston Martin,aston-martin,Dbs20072012,dbs20072012,Coupe,coupe,https://www.carwale.com/aston-martin-cars/dbs20072012/,carwale_versions,https://www.carwale.com/aston-martin-cars/dbs20072012/,2026-06-16 15:57:02
Aston Martin,aston-martin,Dbs20072012,dbs20072012,Volante,volante,https://www.carwale.com/aston-martin-cars/dbs20072012/,carwale_versions,https://www.carwale.com/aston-martin-cars/dbs20072012/,2026-06-16 15:57:02
Aston Martin,aston-martin,Rapide,rapide,LUXE,luxe,https://www.carwale.com/aston-martin-cars/rapide/,carwale_versions,https://www.carwale.com/aston-martin-cars/rapide/,2026-06-16 15:57:02
Aston Martin,aston-martin,Rapide,rapide,S V12,s-v12,https://www.carwale.com/aston-martin-cars/rapide/,carwale_versions,https://www.carwale.com/aston-martin-cars/rapide/,2026-06-16 15:57:02
Aston Martin,aston-martin,Virage,virage,Volante,volante,https://www.carwale.com/aston-martin-cars/virage/,carwale_versions,https://www.carwale.com/aston-martin-cars/virage/,2026-06-16 15:57:02
Audi,audi,Q3,q3,40 TFSI Premium,40-tfsi-premium,https://www.carwale.com/audi-cars/q3/,carwale_versions,https://www.carwale.com/audi-cars/q3/,2026-06-16 15:57:02
Audi,audi,Q3,q3,40 TFSI Premium Plus,40-tfsi-premium-plus,https://www.carwale.com/audi-cars/q3/,carwale_versions,https://www.carwale.com/audi-cars/q3/,2026-06-16 15:57:02
Audi,audi,Q3,q3,40 TFSI Technology,40-tfsi-technology,https://www.carwale.com/audi-cars/q3/,carwale_versions,https://www.carwale.com/audi-cars/q3/,2026-06-16 15:57:02
Audi,audi,Q3,q3,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q3/,carwale_versions,https://www.carwale.com/audi-cars/q3/,2026-06-16 15:57:02
Audi,audi,A4,a4,Premium 40 TFSI,premium-40-tfsi,https://www.carwale.com/audi-cars/a4/,carwale_versions,https://www.carwale.com/audi-cars/a4/,2026-06-16 15:57:03
Audi,audi,A4,a4,Premium Plus 40 TFSI,premium-plus-40-tfsi,https://www.carwale.com/audi-cars/a4/,carwale_versions,https://www.carwale.com/audi-cars/a4/,2026-06-16 15:57:03
